hotel name,rating,rating text,place,near by place,discount price,actual price,facilities,destination name,,
Hotel Airport Inn One,2,Average,"Near Ahmedabad Airport, Ahmedabad",21.9 km from Gandhinagar District,1855,3799,24-hour Room Service,Gandhinagar,,
"Hotel Nilkanth,Ahmedabad",2.8,Average,"Chandkheda, Ahmedabad",19.1 km from Gandhinagar District,868,999,Restaurant,Gandhinagar,,
Hotel SS,2.2,Average,"Motera, Ahmedabad",20.2 km from Gandhinagar District,1303,1699,24-hour Room Service,Gandhinagar,,
HOTEL SILVERA GRAND,3.8,Very Good,"Nava Naroda, Ahmedabad",20.7 km from Gandhinagar District,3790,5999,24-hour Room service,Gandhinagar,,
Hotel Lords Inn,3.1,Good,"Nana Chiloda, Ahmedabad",17.6 km from Gandhinagar District,2043,2899,24-hour Room service,Gandhinagar,,
Hotel Avadh Palace,3.6,Very Good,"Keshav Nagar, Ahmedabad",24.5 km from Gandhinagar District,1514,3000,Restaurant,Gandhinagar,,
Hotel Arose,3.5,Very Good,"Nana Chiloda, Ahmedabad",18.2 km from Gandhinagar District,1342,1550,24-hour Room service,Gandhinagar,,
Hotel Asiana Sky,3.8,Very Good,"Motera, Ahmedabad",19.3 km from Gandhinagar District,1456,1899,Jacuzzi,Gandhinagar,,
Hotel Red Blue,3,Good,"Naroda, Ahmedabad",22.6 km from Gandhinagar District,2316,2899,24-hour Room service,Gandhinagar,,
Hotel Leisure,3.2,Good,"Motera, Ahmedabad",19.5 km from Gandhinagar District,1449,3500,Restaurant,Gandhinagar,,
FabHotel Max Inn - Inside Himalaya Square,3.5,Very Good,"Naroda, Ahmedabad",21.6 km from Gandhinagar District,1124,2685,Fireplace,Gandhinagar,,
Hotel Satluj,2.8,Average,"Naroda, Ahmedabad",22.8 km from Gandhinagar District,1727,2100,24-hour Room service,Gandhinagar,,
Hotel RK Palace,3.2,Good,"Sarkhej Gandhinagar highway, Ahmedabad",20.4 km from Gandhinagar District,2235,3549,24-hour Room Service,Gandhinagar,,
Hotel Royal Comfort,4,Very Good,"Sabarmati, Ahmedabad",22.9 km from Gandhinagar District,1903,2550,24-hour Room service,Gandhinagar,,
Super Hotel O 828256 Hotel Yuvraj,3.5,Very Good,"GIDC Naroda, Ahmedabad",17.9 km from Gandhinagar District,781,1639,24-hour Room service,Gandhinagar,,
Hotel green stay,2.5,Average,"Gota, Ahmedabad",22.3 km from Gandhinagar District,2829,3500,24-hour Room service,Gandhinagar,,
Hotel Rest Peace Airport,3,Good,"Near Ahmedabad Airport, Ahmedabad",21.5 km from Gandhinagar District,2112,2500,Air Conditioning,Gandhinagar,,
Hotel Anand Lake,4,Very Good,"Bhat, Ahmedabad",17.8 km from Gandhinagar District,1553,2250,24-hour Room Service,Gandhinagar,,
HOTEL ALLEN,2.8,Average,"Sarkhej Gandhinagar highway, Ahmedabad",22.9 km from Gandhinagar District,1731,2000,24-hour Room service,Gandhinagar,,
HOTEL CHANDRA PALACE,3.2,Good,"Chandkheda, Ahmedabad",19.2 km from Gandhinagar District,1241,1600,Bonfire,Gandhinagar,,
Hotel Legacy,3.6,Very Good,"Nana Chiloda, Ahmedabad",17.7 km from Gandhinagar District,1402,1620,Jacuzzi,Gandhinagar,,
HOTEL FUN REGENCY,1,Poor,"Motera, Ahmedabad",19.3 km from Gandhinagar District,2287,2999,Jacuzzi,Gandhinagar,,
Hotel The Vibrant,2,Average,"Sughad, Ahmedabad",16.9 km from Gandhinagar District,1519,1800,24-hour Room Service,Gandhinagar,,
"Keys Select by Lemon Tree Hotels, Gandhi Ashram",3.9,Very Good,"Old Wadaj, Ahmedabad",25.0 km from Gandhinagar District,3206,4000,Restaurant,Gandhinagar,,
Hotel Angel,3,Good,"GIDC Naroda, Ahmedabad",19.3 km from Gandhinagar District,1038,1199,24-hour Room Service,Gandhinagar,,
Hotel Gift City,3.5,Very Good,"Nana Chiloda, Ahmedabad",17.7 km from Gandhinagar District,1635,2099,24-hour Room Service,Gandhinagar,,
Hotel Midnight,3.7,Very Good,"Sarkhej Gandhinagar highway, Ahmedabad",25.0 km from Gandhinagar District,1304,1700,24-hour Room Service,Gandhinagar,,
Hotel RR Palace,3.6,Very Good,"Chandkheda, Ahmedabad",18.1 km from Gandhinagar District,1918,2200,24-hour Room Service,Gandhinagar,,
Hotel Asiana,3.7,Very Good,"Chandkheda, Ahmedabad",19.9 km from Gandhinagar District,1038,1499,Jacuzzi,Gandhinagar,,
Hotel Dwarkesh,3.2,Good,"Bhat, Ahmedabad",19.3 km from Gandhinagar District,1558,1800,24-hour Room service,Gandhinagar,,
Green Park Hotel,3.5,Very Good,"Chandlodia, Ahmedabad",24.8 km from Gandhinagar District,1223,1899,24-hour Room service,Gandhinagar,,
Hotel Jaunt Safari,1.5,Poor,"Motera, Ahmedabad",19.2 km from Gandhinagar District,657,900,24-hour Room service,Gandhinagar,,
Hotel Phoenix,3.6,Very Good,"Chandkheda, Ahmedabad",18.1 km from Gandhinagar District,1385,1600,24-hour Room Service,Gandhinagar,,
Hotel Leepark,2.6,Average,"Nava Naroda, Ahmedabad",21.9 km from Gandhinagar District,829,1619,24-hour Room Service,Gandhinagar,,
"The Fern Residency, Subhash Bridge, Ahmedabad",3.9,Very Good,"Keshav Nagar, Ahmedabad",24.7 km from Gandhinagar District,9036,11812,Gym,Gandhinagar,,
FabHotel Namantra - Nr. Apollo Circle Sardar Patel Ring Road,3.7,Very Good,"Bhat, Ahmedabad",17.8 km from Gandhinagar District,2041,4877,Restaurant,Gandhinagar,,
Hotel M Grand,3.5,Very Good,"Nava Naroda, Ahmedabad",21.9 km from Gandhinagar District,1731,2000,24-hour Room service,Gandhinagar,,
Hotel Satluj Inn,3.3,Good,"Naroda, Ahmedabad",22.8 km from Gandhinagar District,778,999,Luggage Storage,Gandhinagar,,
Hotel Home Stay Inn,3.4,Good,"Near Ahmedabad Airport, Ahmedabad",21.9 km from Gandhinagar District,1541,1999,Restaurant,Gandhinagar,,
Hotel Global Inn,2.7,Average,"GIDC Naroda, Ahmedabad",20.0 km from Gandhinagar District,958,1300,24-hour Room service,Gandhinagar,,
Hotel Siddhartha Palace,3.1,Good,"Shahibaug, Ahmedabad",24.8 km from Gandhinagar District,1841,4799,Restaurant,Gandhinagar,,
Comfort Inn Sapphire Chandkheda Ahmedabad,4,Very Good,"Chandkheda, Ahmedabad",18.9 km from Gandhinagar District,2800,3500,Jacuzzi,Gandhinagar,,
Hotel Airport Plaza,2.4,Average,"Near Ahmedabad Airport, Ahmedabad",21.9 km from Gandhinagar District,1278,3449,Restaurant,Gandhinagar,,
Hotel Royal Night,2.8,Average,"Old Wadaj, Ahmedabad",25.0 km from Gandhinagar District,1456,1899,Restaurant,Gandhinagar,,
Hotel Palav Palace,4,Very Good,"Naroda, Ahmedabad",22.3 km from Gandhinagar District,1266,1950,24-hour Room Service,Gandhinagar,,
"ama Stays and Trails The Deck, Girnar Forest, Junagarh",3.5,Very Good,Junagadh,Not Available,45000,45000,Shared Swimming Pool,Girnar,,
2bhk villa with Jacuzzi bath,4,Very Good,Kadiyavad,"9.9 km from ama Stays and Trails The Deck, Girnar Forest, Junagarh",2823,3150,Air Conditioning,Girnar,,
"The Fern Leo Resort & Club, Junagadh, Gujarat",4.4,Excellent,Mullawada,"7.3 km from ama Stays and Trails The Deck, Girnar Forest, Junagarh",4486,6299,Spa,Girnar,,
Hotel Greenland,4,Very Good,Junagadh,"4.2 km from ama Stays and Trails The Deck, Girnar Forest, Junagarh",1863,3000,Restaurant,Girnar,,
Raghav Farm | Rooms & Pool,4.5,Excellent,Junagadh,Not Available,2510,2900,Shared Swimming Pool,Girnar,,
HOTEL RAIVAT INN,4.1,Very Good,Kadiyavad,"9.6 km from ama Stays and Trails The Deck, Girnar Forest, Junagarh",1592,2300,Restaurant,Girnar,,
Bellevue Sarovar Premiere Junagadh,4.3,Excellent,Mullawada,"8.1 km from ama Stays and Trails The Deck, Girnar Forest, Junagarh",4950,5500,Spa,Girnar,,
Hotel Picnic,3.9,Very Good,Talav Gate,"9.3 km from ama Stays and Trails The Deck, Girnar Forest, Junagarh",866,1000,24-hour Room service,Girnar,,
Hotel Madhuvanti,4,Very Good,Talav Gate,"9.4 km from ama Stays and Trails The Deck, Girnar Forest, Junagarh",843,1099,Jungle Safari,Girnar,,
HOTEL THE GRAND DIPAK,4.5,Excellent,Dolatpara,"5.9 km from ama Stays and Trails The Deck, Girnar Forest, Junagarh",1655,1900,Restaurant,Girnar,,
"Hotel Harmony, Junagadh",3.9,Very Good,Balotra,"9.1 km from ama Stays and Trails The Deck, Girnar Forest, Junagarh",1259,1700,Restaurant,Girnar,,
Hotel Platinum Junagadh,3.3,Good,Talav Gate,"9.5 km from ama Stays and Trails The Deck, Girnar Forest, Junagarh",912,1300,Fireplace,Girnar,,
Click Hotel Junagadh,4.3,Excellent,Junagadh,"8.5 km from ama Stays and Trails The Deck, Girnar Forest, Junagarh",3156,6000,Swimming Pool,Girnar,,
Hotel Sapphire,3.7,Very Good,Balotra,"9 km from ama Stays and Trails The Deck, Girnar Forest, Junagarh",989,1450,24-hour Room Service,Girnar,,
Leela Bizotel,3.5,Very Good,Mullawada,"8.2 km from ama Stays and Trails The Deck, Girnar Forest, Junagarh",1829,2493,Restaurant,Girnar,,
"The Great Lion, Junagadh",3.2,Good,Dolatpara,"6.7 km from ama Stays and Trails The Deck, Girnar Forest, Junagarh",1784,3000,Spa,Girnar,,
Hotel Anand,3.1,Good,Talav Gate,"9.2 km from ama Stays and Trails The Deck, Girnar Forest, Junagarh",937,1350,24-hour Room service,Girnar,,
magnum inn,3.8,Very Good,Dolatpara,"6.9 km from ama Stays and Trails The Deck, Girnar Forest, Junagarh",1455,2200,Restaurant,Girnar,,
Hotel Asopalav,4.2,Very Good,Bhavnath,"6 km from ama Stays and Trails The Deck, Girnar Forest, Junagarh",3404,4001,24-hour Room service,Girnar,,
HOTEL THE GRAND MARUTI,4.1,Very Good,Junagadh,"5.6 km from ama Stays and Trails The Deck, Girnar Forest, Junagarh",1883,3000,Jungle Safari,Girnar,,
Hotel Maruti,2.8,Average,Balotra,"9 km from ama Stays and Trails The Deck, Girnar Forest, Junagarh",1227,1600,24-hour Room service,Girnar,,
The Lavish Greens Resorts,3.5,Very Good,Junagadh,"5.1 km from ama Stays and Trails The Deck, Girnar Forest, Junagarh",3318,3900,24-hour Room service,Girnar,,
Shiva Deluxe room,3.5,Very Good,Kadiyavad,"9.9 km from ama Stays and Trails The Deck, Girnar Forest, Junagarh",1970,2500,Air Conditioning,Girnar,,
Mahadev Resort and Restaurant,3.5,Very Good,Mullawada,"9 km from ama Stays and Trails The Deck, Girnar Forest, Junagarh",2455,3000,Swimming Pool,Girnar,,
Hotel Royal Palace,3.5,Very Good,Junagadh,"9.2 km from ama Stays and Trails The Deck, Girnar Forest, Junagarh",2157,2700,24-hour Room service,Girnar,,
The Byke Suraj Club Hotel Junagadh,4.2,Very Good,Gandhi Gram,"10.2 km from ama Stays and Trails The Deck, Girnar Forest, Junagarh",2396,3950,Gym,Girnar,,
HOTEL RUDRA,3.9,Very Good,Junagadh,"10.6 km from ama Stays and Trails The Deck, Girnar Forest, Junagarh",1201,2700,Fireplace,Girnar,,
Hotel Giriraj,3.5,Very Good,In Vanthli,7.5 km from Junagadh,1471,1700,Restaurant,Girnar,,
jash,4.3,Excellent,Mendarda,22.3 km from Junagadh,423,500,Shared Kitchen,Girnar,,
Hotel Opera Sasan Gir,4,Very Good,Mendarda,23.1 km from Junagadh,1435,2970,Restaurant,Girnar,,
WET N WILD WATER PARK AND RESORT,3.6,Very Good,Mendarda,24.9 km from Junagadh,2252,3000,Restaurant,Girnar,,
Hotel Greenland,4,Very Good,Junagadh,Not Available,1863,3000,Restaurant,Junagadh,,
"The Fern Leo Resort & Club, Junagadh, Gujarat",4.4,Excellent,Mullawada,Not Available,4486,6299,Spa,Junagadh,,
HOTEL RAIVAT INN,4.1,Very Good,Kadiyavad,Not Available,2438,3800,Restaurant,Junagadh,,
Bellevue Sarovar Premiere Junagadh,4.3,Excellent,Mullawada,Not Available,4950,5500,Spa,Junagadh,,
"Hotel Harmony, Junagadh",3.9,Very Good,Balotra,"9 km from ama Stays and Trails The Deck, Girnar Forest, Junagarh",1259,1700,Restaurant,Junagadh,,
Hotel Madhuvanti,4,Very Good,Talav Gate,Not Available,843,1099,Jungle Safari,Junagadh,,
The Byke Suraj Club Hotel Junagadh,4.2,Very Good,Gandhi Gram,"10.2 km from ama Stays and Trails The Deck, Girnar Forest, Junagarh",2263,3950,Gym,Junagadh,,
Click Hotel Junagadh,4.3,Excellent,Junagadh,Not Available,3156,6000,Swimming Pool,Junagadh,,
Hotel Sapphire,3.7,Very Good,Balotra,990 m drive to Junagadh Junction Railway Station,989,1450,24-hour Room Service,Junagadh,,
Raghav Farm | Rooms & Pool,4.5,Excellent,Junagadh,Not Available,2510,2900,Shared Swimming Pool,Junagadh,,
Hotel Picnic,3.9,Very Good,Talav Gate,Not Available,866,1000,24-hour Room service,Junagadh,,
HOTEL RUDRA,3.9,Very Good,Junagadh,Not Available,1201,2700,Fireplace,Junagadh,,
Leela Bizotel,3.5,Very Good,Mullawada,Not Available,1829,2493,Restaurant,Junagadh,,
Shiva Deluxe room,3.5,Very Good,Kadiyavad,Not Available,1970,2500,Air Conditioning,Junagadh,,
magnum inn,3.8,Very Good,Dolatpara,Not Available,1455,2200,Restaurant,Junagadh,,
HOTEL THE GRAND DIPAK,4.5,Excellent,Dolatpara,Not Available,1655,1900,Restaurant,Junagadh,,
2bhk villa with Jacuzzi bath,4,Very Good,Kadiyavad,Not Available,2823,3150,Air Conditioning,Junagadh,,
Hotel Asopalav,4.2,Very Good,Bhavnath,"6 km from ama Stays and Trails The Deck, Girnar Forest, Junagarh",2372,2800,24-hour Room service,Junagadh,,
"The Great Lion, Junagadh",3.2,Good,Dolatpara,Not Available,1784,3000,Spa,Junagadh,,
HOTEL THE GRAND MARUTI,4.1,Very Good,Junagadh,Not Available,1883,3000,Jungle Safari,Junagadh,,
"ama Stays and Trails The Deck, Girnar Forest, Junagarh",3.5,Very Good,Junagadh,Not Available,45000,45000,Shared Swimming Pool,Junagadh,,
The Lavish Greens Resorts,3.5,Very Good,Junagadh,Not Available,3318,3900,24-hour Room service,Junagadh,,
Mahadev Resort and Restaurant,3.5,Very Good,Mullawada,Not Available,2455,3000,Swimming Pool,Junagadh,,
Hotel Anand,3.1,Good,Talav Gate,Not Available,937,1350,24-hour Room service,Junagadh,,
Hotel Royal Palace,3.5,Very Good,Junagadh,Not Available,2157,2700,24-hour Room service,Junagadh,,
Hotel Maruti,2.8,Average,Balotra,"9 km from ama Stays and Trails The Deck, Girnar Forest, Junagarh",1227,1600,24-hour Room service,Junagadh,,
Hotel Giriraj,3.5,Very Good,In Vanthli,7.5 km from Junagadh,1471,1700,Restaurant,Junagadh,,
jash,4.3,Excellent,Mendarda,22.3 km from Junagadh,423,500,Shared Kitchen,Junagadh,,
Hotel Opera Sasan Gir,4,Very Good,Mendarda,23.1 km from Junagadh,1435,2970,Restaurant,Junagadh,,
WET N WILD WATER PARK AND RESORT,3.6,Very Good,Mendarda,24.9 km from Junagadh,2252,3000,Restaurant,Junagadh,,
Praveg Resort Dholavira,4.4,Excellent,"Dholavira, Rann of Kutch",Not Available,5304,10599,Restaurant,Kutch,,
Hotel Prince,3.9,Very Good,"Lal Tekri, Bhuj",4.8 km drive to Bhuj Airport (BHJ),2350,5500,Gym,Kutch,,
Beetle Smartotels,4.1,Very Good,"Bandar Rd, Mundra",Not Available,2293,3500,Swimming Pool,Kutch,,
The Neemaya,4.2,Very Good,"Gandhidham, Gandhidham",About a minute walk to Gandhidham Bus Station,2195,2700,Spa,Kutch,,
Hotel Kalash,3.3,Good,"Gala Nagar, Mandvi Kutch",Not Available,1488,2000,Restaurant,Kutch,,
Hotel Shiv International,3.9,Very Good,"Ramwadi, Bhachau",930 m drive to Bhachau Bg Railway Station,1663,3500,Restaurant,Kutch,,
HOTEL DESERT INN,3.1,Good,"Old Dhatia Falia, Bhuj",4.8 km drive to Bhuj Airport (BHJ),1214,2188,24-hour Room Service,Kutch,,
The Fern Royal Farm Resort Anjar,4.1,Very Good,"Ratatalav, Gandhidham",Not Available,3204,5501,Spa,Kutch,,
SURKHAB RANN RESORT,3.8,Very Good,"Gorewali, Bhuj",78.5 km from city centre,1530,1990,Restaurant,Kutch,,
Evoke Dholavira Kutch,4.2,Very Good,"Dholavira, Rann of Kutch",Not Available,6042,8750,Shared Swimming Pool,Kutch,,
RYAN RESORT,3.3,Good,"Airport Ring Rd, Bhuj",4.0 km drive to Bhuj Airport (BHJ),4775,6000,Jacuzzi,Kutch,,
Shiv Hotel,3.6,Very Good,"Old Dhatia Falia, Bhuj",4.1 km drive to Bhuj Airport (BHJ),1710,1999,Restaurant,Kutch,,
Radisson Hotel Kandla,4.4,Excellent,"Gandhidham, Gandhidham",3.6 km drive to Kandla Airport,5799,5799,Spa,Kutch,,
Dream Resort,4,Very Good,"Bhujodi, Bhuj",10.6 km from city centre,2303,3200,Swimming Pool,Kutch,,
The Shiv Grand,4,Very Good,"Sector 8, Gandhidham",8.4 km drive to Kandla Airport,3010,3800,Gym,Kutch,,
White Rann - The Tent City,4.3,Excellent,"Dholavira, Rann of Kutch",Not Available,8809,12000,Air Conditioning,Kutch,,
Hotel Nest,4.2,Very Good,"Odhav Vandana II, Bhuj",1.3 km drive to Bhuj Airport (BHJ),2303,3200,24-hour Room Service,Kutch,,
Hotel Shiva Club and Resort,3.7,Very Good,"Nanakpaya, Mundra",Not Available,1229,2100,Spa,Kutch,,
Ramee The Srinivas Palace,4.3,Excellent,"Bhuj, Bhuj",Not Available,6945,9000,Air Conditioning,Kutch,,
Hotel Kutch Desert,3.3,Good,"Madhapar, Bhuj",9.1 km drive to Bhuj Airport (BHJ),1828,2500,Jacuzzi,Kutch,,
Hotel Navkar Residency,3.4,Good,"Lal Tekri, Bhuj",5.5 km drive to Bhuj Airport (BHJ),2184,2500,24-hour Room service,Kutch,,
Hotel Relish,2.8,Average,"Nakhtarana, Nakhtarana",Not Available,1625,1899,Restaurant,Kutch,,
HOTEL FLAMINGO,3.7,Very Good,"Ward 12A, Gandhidham",4 minutes walk to Kandla Railway Station,1326,1550,24-hour Room Service,Kutch,,
HARI OM RESIDENCY,4.1,Very Good,"Ghanshyam Nagar, Bhuj",4.5 km drive to Bhuj Airport (BHJ),1463,2500,24-hour Room Service,Kutch,,
The Shiv Regency,3.8,Very Good,"Ward 12A, Gandhidham",8.9 km drive to Kandla Airport,2138,3300,Restaurant,Kutch,,
HOTEL SHIVAM,3.3,Good,"Sector 1A, Gandhidham",7.8 km drive to Kandla Airport,1488,1739,Kitchenette,Kutch,,
DAZE OFF STUDIO HOUSE | Wi-Fi & Lawn,4.7,Excellent,"Shivnagar, Bhuj",Not Available,2607,3000,Caretaker,Kutch,,
Ramada by Wyndham Gandhidham Shinay,4.4,Excellent,"Gandhidham, Gandhidham",Not Available,5355,5355,Spa,Kutch,,
White Land Village Stay,4.2,Very Good,"Gorewali, Bhuj",Not Available,2817,5900,Bonfire,Kutch,,
HOTEL ORCHID,3.4,Good,"Gandhidham, Gandhidham",8.5 km drive to Kandla Airport,1312,3500,24-hour Room service,Kutch,,
Hotel Raj Mahel,3.6,Very Good,"Old Dhatia Falia, Bhuj",4.7 km drive to Bhuj Airport (BHJ),1147,1800,Indoor Games,Kutch,,
Rann Home Stay Resort,4,Very Good,"Gorewali, Bhuj",76.1 km from city centre,4428,5000,Restaurant,Kutch,,
Hotel Grand Ambience,3.2,Good,"Gopalpuri, Gandhidham",8.4 km drive to Kandla Airport,1159,1700,24-hour Room service,Kutch,,
WHITE RANN CAMP RANN OF KUTCH,3.5,Very Good,"Bhuj, Bhuj",Not Available,5826,7450,24-hour Room service,Kutch,,
Holiday Resort & Spa (A Unit of S. Poddar Group),4.2,Very Good,"Meghpar Borichi, Gandhidham",4.2 km drive to Kandla Airport,4280,5600,Spa,Kutch,,
Lords Eco Inn Gandhidham,3.6,Very Good,"Gandhidham, Gandhidham",7.7 km drive to Kandla Airport,3150,3150,24-hour Room service,Kutch,,
The Fern Residency Mundra,4.2,Very Good,"Nanakpaya, Mundra",Not Available,3811,8249,Swimming Pool,Kutch,,
Hotel Shyam Palace,3.9,Very Good,"Madhapar, Bhuj",9.5 km drive to Bhuj Airport (BHJ),1693,2800,Spa,Kutch,,
LA CASA DE RANN,4.2,Very Good,"Uma Nagar, Bhuj",6.7 km drive to Bhuj Airport (BHJ),3538,4500,Restaurant,Kutch,,
Hotel Aarti International,2.9,Average,"Ward 12A, Gandhidham",8 minutes walk to Kandla Railway Station,2358,2699,Restaurant,Kutch,,
Shakti hostel&hotel,2.7,Average,"Bhuj, Bhuj",6.3 km drive to Bhuj Airport (BHJ),1283,1500,24-hour Room Service,Kutch,,
Praveg White Rann Resort Rann Utsav Dhordo,3.7,Very Good,"Dhordo, Bhuj",1.2 km drive to Rann Utsav Venue,7043,13999,Bonfire,Kutch,,
Family Homestay Kutch,3.7,Very Good,"Gorewali, Bhuj",Not Available,2890,3500,Lawn,Kutch,,
Hotel Happy Inn,3.6,Very Good,"Sector 1A, Gandhidham",7.6 km drive to Kandla Airport,1198,2000,24-hour Room service,Kutch,,
Hotel Surbhi.,3.3,Good,"Nanakpaya, Mundra",Not Available,2118,4649,Swimming Pool,Kutch,,
Hotel Viraj- Residency,3.3,Good,"Vardhman Nagar, Bhuj",Not Available,2476,3500,Kids Play Area,Kutch,,
Hotel Centre Point,3.9,Very Good,"Nanakpaya, Mundra",Not Available,1384,1800,Spa,Kutch,,
Amrutiya Farmview Suit,4.8,Excellent,"Bhuj, Bhuj",Not Available,1690,3000,Shared Swimming Pool,Kutch,,
Hotel JB Star,4.2,Very Good,"Swamiji Sheri, Mandvi Kutch",Not Available,1023,1500,Restaurant,Kutch,,
STAYGURU USHA RESIDENCY,3.4,Good,"Vijay Nagar, Bhuj",5.7 km drive to Bhuj Airport (BHJ),3692,5500,24-hour Room Service,Kutch,,
THE KUTCHH COURTYARD,4.9,Excellent,"Bhujodi, Bhuj",9.2 km from city centre,6980,10700,Lawn,Kutch,,
Hotel Atithi,3.4,Good,"Madhapar, Bhuj",9.5 km drive to Bhuj Airport (BHJ),1333,2300,24-hour Room Service,Kutch,,
Click Hotel Mundra,4.4,Excellent,"Nanakpaya, Mundra",Not Available,2635,3100,Restaurant,Kutch,,
The Village Resort Mandvi,3.9,Very Good,"Talwana, Mandvi Kutch",Not Available,2493,2800,Swimming Pool,Kutch,,
Hotel Kutch Palace,3.6,Very Good,"Nilkanth Nagar, Bhuj",3.0 km drive to Bhuj Airport (BHJ),1939,2500,24-hour Room Service,Kutch,,
Hotel Prince Residency.,3.6,Very Good,"Airport Ring Rd, Bhuj",7.7 km drive to Bhuj Airport (BHJ),3354,8000,Restaurant,Kutch,,
Ambar Sarovar Portico,3.7,Very Good,"Sector 8, Gandhidham",7.9 km drive to Kandla Airport,4500,5000,Spa,Kutch,,
HARAPPAN HOMESTAY&RESTAURANT,4,Very Good,"Rann of Kutch, Rann of Kutch",Not Available,4495,5000,24-hour Room service,Kutch,,
Hotel Jai residency,3.6,Very Good,"Ward 12A, Gandhidham",9 minutes walk to Kandla Railway Station,2279,2899,Restaurant,Kutch,,
Hotel Seven Spice,2.8,Average,"Sector 1A, Gandhidham",7.6 km drive to Kandla Airport,1544,1900,24-hour Room service,Kutch,,
Tree Top Residency,3.7,Very Good,"Madhapar, Bhuj",8.9 km drive to Bhuj Airport (BHJ),1625,1900,Swimming Pool,Kutch,,
SHYAM HOMESTAY,4.1,Very Good,"Shreeji Nagar, Bhuj",Not Available,2712,3649,Caretaker,Kutch,,
HOTEL SAHARA PALACE,3.1,Good,"Ghanshyam Nagar, Bhuj",4.7 km drive to Bhuj Airport (BHJ),1188,1550,Restaurant,Kutch,,
HILL VIEW RESORT,4.2,Very Good,"Uma Nagar, Bhuj",5.3 km drive to Bhuj Airport (BHJ),6640,7499,Swimming Pool,Kutch,,
Renest Gandhidham,3.7,Very Good,"Sector 8, Gandhidham",8.1 km drive to Kandla Airport,3672,4590,Spa,Kutch,,
Rann Rajvi Homestay,3.6,Very Good,"Gorewali, Bhuj",75.8 km from city centre,2873,3500,24-hour Room service,Kutch,,
Rann Resort Dholavira,3.9,Very Good,"Dholavira, Rann of Kutch",Not Available,5775,6800,24-hour Room service,Kutch,,
The Village Resort,3.8,Very Good,"Nanakpaya, Mundra",Not Available,3123,4050,Swimming Pool,Kutch,,
Hotel Ocean Residency,3.4,Good,"Mandvi Kutch, Mandvi Kutch",Not Available,1711,2000,Fireplace,Kutch,,
HOTEL THE DEVRAJ PALACE,3.5,Very Good,"Bhuj, Bhuj",About a minute walk to Bhuj Railway Station,6199,7000,Private Beach,Kutch,,
VRP Guest House,3.1,Good,"Ghanshyam Nagar, Bhuj",4.6 km drive to Bhuj Airport (BHJ),462,540,Luggage Storage,Kutch,,
Palace Beach Camp Resort,4.1,Very Good,"Mandvi Beach, Mandvi Kutch",Not Available,5872,9000,Private Beach,Kutch,,
Hotel Empire,3.2,Good,"Ward 9AF, Gandhidham",5.3 km drive to Kandla Airport,1306,1500,Restaurant,Kutch,,
"The Fern Residency, Bhuj",4,Very Good,"Madhapar, Bhuj",9.4 km drive to Bhuj Airport (BHJ),6422,8777,Spa,Kutch,,
The Presidential Suites,3.2,Good,"Bhuj, Bhuj",6.1 km drive to Bhuj Airport (BHJ),3114,5750,24-hour Room Service,Kutch,,
Swamira'hut,3.4,Good,"Bhuj, Bhuj",Not Available,3272,3900,Living Room,Kutch,,
Rann Niwas Village Stay,5,Excellent,"Hodka, Bhuj",62.6 km from city centre,3520,4000,24-hour Room service,Kutch,,
Serena Beach Resort,4.1,Very Good,"Mota Salaya, Mandvi Kutch",Not Available,7976,9000,Spa,Kutch,,
HOTEL N K,3.3,Good,"Vijay Nagar, Bhuj",6.4 km drive to Bhuj Airport (BHJ),1027,1200,Butler Services,Kutch,,
Ks VILLA BELLA,4.2,Very Good,"Bhuj, Bhuj",Not Available,3635,4000,Caretaker,Kutch,,
Hotel Avenue Plaza,4.5,Excellent,"Nanakpaya, Mundra",Not Available,1533,2499,Restaurant,Kutch,,
Amrutbagh Resort | Rooms in Boutique Stay,3.3,Good,"Bhachau, Bhachau",Not Available,2517,5000,Shared Swimming Pool,Kutch,,
WOODEN HERITAGE VILLA,4.7,Excellent,"Bhuj, Bhuj",Not Available,3626,4880,Air Conditioning,Kutch,,
The Palm Resort,3.7,Very Good,"Mandvi Beach, Mandvi Kutch",Not Available,4363,5800,Bonfire,Kutch,,
StayGuru The Heaven Resort,3.9,Very Good,"Dholavira, Rann of Kutch",Not Available,6194,6900,24-hour Room service,Kutch,,
Rann Kandhi Resort,3.9,Very Good,"Gorewali, Bhuj",76.5 km from city centre,3126,6600,Restaurant,Kutch,,
Rann Chandni,4.1,Very Good,"Hodka, Bhuj",62.8 km from city centre,5412,7200,Bonfire,Kutch,,
hotel prashant international,3.2,Good,"Ward 12A, Gandhidham",8.5 km drive to Kandla Airport,1788,2200,24-hour Room Service,Kutch,,
Sun Inn,3,Good,"Mandvi Kutch, Mandvi Kutch",Not Available,2389,2900,Spa,Kutch,,
Kutir Craft Village Resort,4.6,Excellent,"Hodka, Bhuj",62.3 km from city centre,3695,4200,Restaurant,Kutch,,
Natures Nest,4.3,Excellent,"Airport Ring Rd, Bhuj",Not Available,3445,4500,Kitchenette,Kutch,,
Dharani Village Resort,4.2,Very Good,"Hodka, Bhuj",62.5 km from city centre,3562,5500,24-hour Room service,Kutch,,
