hotel name,rating,rating text,place,near by place,discount price,actual price,facilities,destination name,,
Hotel Mayur,2.7,Average,Sadar Bazar,18.7 km from Ambaji,684,800,24-hour Room Service,Ambaji,,
Hotel Sigma,3.3,Good,Sadar Bazar,18.5 km from Ambaji,812,950,24-hour Room service,Ambaji,,
Gurukripa Hilltop Resorts,3.3,Good,Abu Road,6.5 km from Ambaji,1966,2500,Swimming Pool,Ambaji,,
CA Pariwar Club and Hotel,2.6,Average,Chandrawati,15.0 km from Ambaji,3494,4499,Jacuzzi,Ambaji,,
Hotel Mountway,3.6,Very Good,Ricco Colony,16.4 km from Ambaji,1300,1500,Restaurant,Ambaji,,
Hotel Bhagwati International,2.7,Average,Ghosi Mohalla,18.9 km from Ambaji,1254,1600,Restaurant,Ambaji,,
Hotel Durga,4,Very Good,Abu Road,18.3 km from Ambaji,957,1600,24-hour Room service,Ambaji,,
Hotel Lucky Inn,3.5,Very Good,Talahati,24.4 km from Ambaji,923,1200,Restaurant,Ambaji,,
Neonz Resort and Club,4.2,Very Good,In Petlad,About a minute walk to Dabhau Railway Station,8184,11110,Swimming Pool,Anand,,
Krishna Riverside Resort,4.3,Excellent,Anand,39.5 km drive to Ranchhodrai Dakor Temple,3187,5350,Swimming Pool,Anand,,
Madhubhan Resort and Spa,4.5,Excellent,GIDC,37.8 km drive to Ranchhodrai Dakor Temple,9873,11200,Jacuzzi,Anand,,
Hotel Sach Regency,4.1,Very Good,Popati Nagar,34.4 km drive to Ranchhodrai Dakor Temple,1881,2999,Spa,Anand,,
Hotel Rudra Palace,3.9,Very Good,Anand,33.4 km drive to Ranchhodrai Dakor Temple,910,1399,24-hour Room Service,Anand,,
Super Townhouse Anand,3.8,Very Good,Mangalpura,35.3 km drive to Ranchhodrai Dakor Temple,1212,2841,Restaurant,Anand,,
Hotel S R Laxmi,4.6,Excellent,Sardar Ganj,32.9 km drive to Ranchhodrai Dakor Temple,1316,2000,Restaurant,Anand,,
Hotel Arizona Inn,4,Very Good,GIDC,35.9 km drive to Ranchhodrai Dakor Temple,2942,4000,Spa,Anand,,
Motel Sanvaria Regency,3.9,Very Good,Vallabh Vidhyanagar,36.2 km drive to Ranchhodrai Dakor Temple,973,2300,Restaurant,Anand,,
Hotel SR Regency,4.1,Very Good,Purushottam Nagar,34.8 km drive to Ranchhodrai Dakor Temple,1742,2500,Fireplace,Anand,,
Hotel Blueivy,4.3,Excellent,Vivekanand Wadi,34.0 km drive to Ranchhodrai Dakor Temple,4579,6899,Swimming Pool,Anand,,
HOTEL RAMA RESIDENCY,4.3,Excellent,Sardar Ganj,33.2 km drive to Ranchhodrai Dakor Temple,1698,2000,Restaurant,Anand,,
